2018-05-29 07:37:24.351 [EF] INFO  [JTS-MISC URLsListenerS1-4] - Starting Listener thread
2018-05-29 07:37:24.365 [EF] INFO  [JTS-MiscUlrsRequester-3] - Sending MiscUrls request
2018-05-29 07:37:24.365 [EF] INFO  [JTS-AuthDispatcherS1-5] - Starting dispatcher
2018-05-29 07:37:24.366 [EF] INFO  [JTS-MiscUlrsRequester-3] - LOGIN_TIME_MONITOR	 false 07:37:24:366 since start = 0 thread delay = 0 global delay = 0 tag=null, cls=AuthDispatcher method=send
2018-05-29 07:37:24.367 [EF] INFO  [JTS-AuthResponseMonitor-6] - Starting auth response monitor thread
2018-05-29 07:37:24.367 [EF] INFO  [JTS-MISC URLsListenerS1-4] - Initial listener buffer size is 187200
2018-05-29 07:37:24.367 [EF] INFO  [JTS-MISC URLsListenerS1-4] - Capping listener buffer size at 65536
2018-05-29 07:37:24.454 [EF] INFO  [JTS-AuthDispatcherS1-5] - Received NS_MISC_URLS
2018-05-29 07:37:24.456 [EF] INFO  [JTS-AuthDispatcherS1-5] - Received URLs ='{alpine_help=https://www.interactivebrokers.com/en/general/alpineHelp.php, ib_system_status=http://status.interactivebrokers.net/cgi-bin/bb_status.pl, customer_service=https://www.interactivebrokers.com/en/p.php?f=customerService&ib_entity=llc, wbdemo=direct, java_upgrade_howto=https://www.interactivebrokers.com/en/software/downloadPlugin.php?ib_entity=llc, demo=email, ssl=1, pass_change_ib=https://gdcdyn.interactivebrokers.com/sso/Login?service=AM.LOGIN&MSG=PWD, paper_account_creation=https://gdcdyn.interactivebrokers.com/sso/Login, pass_reset=https://gdcdyn.interactivebrokers.com/Universal/servlet/AccountAccess.PasswordReset, bingo_help=https://www.interactivebrokers.com/en/general/bingoHelp.php, pass_reset_wb=https://www.clientam.com/Universal/servlet/AccountAccess.PasswordReset, gold_help=https://www.interactivebrokers.com/en/general/goldHelp.php, s3store=1}'
2018-05-29 07:37:24.458 [EF] INFO  [AWT-EventQueue-0] - OvernightManager.dayInit: new values: dayOfTheWeek: 3 (Tue), YYYYMMofToday: 201805, YYYYMMDDofToday: 20180529, m_todayDate: 20180529, dueToChangeInTimezone: false
2018-05-29 07:37:24.458 [EF] INFO  [JTS-AuthDispatcherS1-5] - Disconnecting gdc1.ibllc.com:4000 with status DISCONNECT_BY_DESIGN
2018-05-29 07:37:24.459 [EF] INFO  [JTS-AuthDispatcherS1-5] - Terminating dispatcher
2018-05-29 07:37:24.459 [EF] INFO  [JTS-AuthResponseMonitor-6] - Terminating auth response monitor thread
2018-05-29 07:37:24.459 [EF] INFO  [JTS-MISC URLsListenerS1-4] - Socket for connection gdc1.ibllc.com:4000 was closed by another thread
2018-05-29 07:37:24.459 [EF] INFO  [JTS-MISC URLsListenerS1-4] - Terminating Listener thread
2018-05-29 07:37:24.467 [EF] INFO  [AWT-EventQueue-0] - LauncherFontUpdater: simulatehighdefscreen=false
2018-05-29 07:37:24.468 [EF] INFO  [AWT-EventQueue-0] - LauncherFontUpdater: Screen dimensions=3840x2160
2018-05-29 07:37:24.468 [EF] INFO  [AWT-EventQueue-0] - LauncherFontUpdater: highres=true
2018-05-29 07:37:24.468 [EF] INFO  [AWT-EventQueue-0] - LauncherFontUpdater: FontSize=0
2018-05-29 07:37:24.892 [EF] INFO  [AWT-EventQueue-0] - twslaunch.autoupdate.serviceImpl: com.ib.tws.twslaunch.install4j.Install4jAutoUpdateService
2018-05-29 07:37:24.894 [EF] INFO  [AWT-EventQueue-0] - updateDownloadUrl: null
2018-05-29 07:37:24.894 [EF] INFO  [AWT-EventQueue-0] - skipUpdateCheck: null
2018-05-29 07:37:24.894 [EF] INFO  [AWT-EventQueue-0] - nightlyEnabled: true
2018-05-29 07:37:24.895 [EF] INFO  [AWT-EventQueue-0] - channelNameArg: null
2018-05-29 07:37:24.895 [EF] INFO  [AWT-EventQueue-0] - channelName: latest
2018-05-29 07:37:24.895 [EF] INFO  [AWT-EventQueue-0] - jtsConfigDir: null
2018-05-29 07:37:24.895 [EF] INFO  [AWT-EventQueue-0] - sessionId: not set
2018-05-29 07:37:24.895 [EF] INFO  [AWT-EventQueue-0] - apiPort: null
2018-05-29 07:37:24.895 [EF] INFO  [AWT-EventQueue-0] - installDir: /home/eugene/Jts/lynx10/
2018-05-29 07:37:24.895 [EF] INFO  [AWT-EventQueue-0] - exeName: null
2018-05-29 07:37:24.997 [EF] INFO  [AWT-EventQueue-0] - Started on 20180529-06:37:24 Europe/London
2018-05-29 07:37:24.997 [EF] INFO  [AWT-EventQueue-0] - java version = 1.8.0_60
2018-05-29 07:37:24.997 [EF] INFO  [AWT-EventQueue-0] - sun.arch.data.model = 64
2018-05-29 07:37:24.997 [EF] INFO  [AWT-EventQueue-0] - os = Linux
2018-05-29 07:37:24.997 [EF] INFO  [AWT-EventQueue-0] - os architecture = 32
2018-05-29 07:37:24.997 [EF] INFO  [AWT-EventQueue-0] - runtime = Java(TM) SE Runtime Environment
2018-05-29 07:37:24.997 [EF] INFO  [AWT-EventQueue-0] - vendor = Oracle Corporation
2018-05-29 07:37:24.998 [EF] INFO  [AWT-EventQueue-0] - vm name = Java HotSpot(TM) 64-Bit Server VM
2018-05-29 07:37:24.998 [EF] INFO  [AWT-EventQueue-0] - username = 'eugene'
2018-05-29 07:37:25.134 [EF] INFO  [AWT-EventQueue-0] - Basic init done. Login window shown
2018-05-29 07:37:41.461 [EF] INFO  [AWT-EventQueue-0] - username = diulishzrp
2018-05-29 07:37:41.462 [EF] INFO  [AWT-EventQueue-0] - Setting dir is /home/eugene/Jts/
2018-05-29 07:37:41.463 [EF] INFO  [AWT-EventQueue-0] - PROXY Cleared HTTP proxy: no valid proxy is present (passing on :0)
2018-05-29 07:37:41.473 [EF] INFO  [AWT-EventQueue-0] - host = gdc1.ibllc.com
2018-05-29 07:37:41.473 [EF] INFO  [AWT-EventQueue-0] - remotePort = 4000
2018-05-29 07:37:41.473 [EF] INFO  [AWT-EventQueue-0] - localPort = 0
2018-05-29 07:37:41.475 [EF] INFO  [AWT-EventQueue-0] - SPLASH Creating screen with 15 steps
2018-05-29 07:37:41.557 [EF] INFO  [AWT-EventQueue-0] - mapProdToPaper: m_simulatedTradingModeSelected=false
2018-05-29 07:37:41.557 [EF] INFO  [AWT-EventQueue-0] - CONN CALC: Last connection attempt time is cleared!
2018-05-29 07:37:41.558 [EF] INFO  [AWT-EventQueue-0] - CONN CALC: Last connection set as now:07:37:41:558
2018-05-29 07:37:41.558 [EF] INFO  [AWT-EventQueue-0] - Prelogin delay:0
2018-05-29 07:37:41.559 [EF] INFO  [JTS-Login-10] - Starting launcher login thread
2018-05-29 07:37:41.560 [EF] INFO  [JTS-Login-10] - SPLASH Connecting to server
2018-05-29 07:37:41.560 [EF] INFO  [AWT-EventQueue-0] - Network monitor is activated
2018-05-29 07:37:41.560 [EF] INFO  [JTS-Login-10] - Connecting gdc1.ibllc.com:4000 timeout=20000
2018-05-29 07:37:41.646 [EF] INFO  [JTS-Login-10] - Connected to gdc1.ibllc.com:4000 on local port 0 socket local addrs:port /192.168.1.103:46698
2018-05-29 07:37:41.658 [EF] INFO  [JTS-Login-10] - NSCX init:false
2018-05-29 07:37:41.658 [EF] INFO  [JTS-Login-10] - Changing state for connection from PRELOGON to PRELOGON in y 1333570568: SessionSocket:2
2018-05-29 07:37:41.658 [EF] INFO  [JTS-Login-10] - Authenticating
2018-05-29 07:37:41.659 [EF] INFO  [JTS-CCPListenerS2-12] - Starting Listener thread
2018-05-29 07:37:41.659 [EF] INFO  [JTS-Login-10] - AuthTimeoutMonitor: deactivate
2018-05-29 07:37:41.659 [EF] INFO  [JTS-Login-10] - AuthTimeoutMonitor: timeout=20000
