2018-05-24 09:03:54.586 [NJ] INFO  [JTS-MiscUlrsRequester-3] - MACNetworkInfo created <0186c0ec|D0:67:E5:F0:D9:45|192.168.1.103>
2018-05-24 09:03:54.588 [NJ] INFO  [JTS-MISC URLsListenerS1-4] - Starting Listener thread
2018-05-24 09:03:54.603 [NJ] INFO  [JTS-MiscUlrsRequester-3] - Sending MiscUrls request
2018-05-24 09:03:54.603 [NJ] INFO  [JTS-AuthDispatcherS1-5] - Starting dispatcher
2018-05-24 09:03:54.605 [NJ] INFO  [JTS-MiscUlrsRequester-3] - LOGIN_TIME_MONITOR	 false 09:03:54:604 since start = 0 thread delay = 0 global delay = -1 tag=null, cls=AuthDispatcher method=send
2018-05-24 09:03:54.605 [NJ] INFO  [JTS-AuthResponseMonitor-6] - Starting auth response monitor thread
2018-05-24 09:03:54.606 [NJ] INFO  [JTS-MISC URLsListenerS1-4] - Initial listener buffer size is 187200
2018-05-24 09:03:54.606 [NJ] INFO  [JTS-MISC URLsListenerS1-4] - Capping listener buffer size at 65536
2018-05-24 09:03:54.692 [NJ] INFO  [JTS-AuthDispatcherS1-5] - Received NS_MISC_URLS
2018-05-24 09:03:54.694 [NJ] INFO  [JTS-AuthDispatcherS1-5] - Received URLs ='{alpine_help=https://www.interactivebrokers.com/en/general/alpineHelp.php, ib_system_status=http://status.interactivebrokers.net/cgi-bin/bb_status.pl, customer_service=https://www.interactivebrokers.com/en/p.php?f=customerService&ib_entity=llc, wbdemo=direct, java_upgrade_howto=https://www.interactivebrokers.com/en/software/downloadPlugin.php?ib_entity=llc, demo=email, ssl=1, pass_change_ib=https://gdcdyn.interactivebrokers.com/sso/Login?service=AM.LOGIN&MSG=PWD, paper_account_creation=https://gdcdyn.interactivebrokers.com/sso/Login, pass_reset=https://gdcdyn.interactivebrokers.com/Universal/servlet/AccountAccess.PasswordReset, bingo_help=https://www.interactivebrokers.com/en/general/bingoHelp.php, pass_reset_wb=https://www.clientam.com/Universal/servlet/AccountAccess.PasswordReset, gold_help=https://www.interactivebrokers.com/en/general/goldHelp.php, s3store=1}'
2018-05-24 09:03:54.696 [NJ] INFO  [AWT-EventQueue-0] - OvernightManager.dayInit: new values: dayOfTheWeek: 5 (Thu), YYYYMMofToday: 201805, YYYYMMDDofToday: 20180524, m_todayDate: 20180524, dueToChangeInTimezone: false
2018-05-24 09:03:54.697 [NJ] INFO  [JTS-AuthDispatcherS1-5] - Disconnecting gdc1.ibllc.com:4000 with status DISCONNECT_BY_DESIGN
2018-05-24 09:03:54.697 [NJ] INFO  [JTS-AuthDispatcherS1-5] - Terminating dispatcher
2018-05-24 09:03:54.697 [NJ] INFO  [JTS-AuthResponseMonitor-6] - Terminating auth response monitor thread
2018-05-24 09:03:54.698 [NJ] INFO  [JTS-MISC URLsListenerS1-4] - Socket for connection gdc1.ibllc.com:4000 was closed by another thread
2018-05-24 09:03:54.698 [NJ] INFO  [JTS-MISC URLsListenerS1-4] - Terminating Listener thread
2018-05-24 09:03:54.707 [NJ] INFO  [AWT-EventQueue-0] - LauncherFontUpdater: simulatehighdefscreen=false
2018-05-24 09:03:54.708 [NJ] INFO  [AWT-EventQueue-0] - LauncherFontUpdater: Screen dimensions=3840x2160
2018-05-24 09:03:54.708 [NJ] INFO  [AWT-EventQueue-0] - LauncherFontUpdater: highres=true
2018-05-24 09:03:54.708 [NJ] INFO  [AWT-EventQueue-0] - LauncherFontUpdater: FontSize=0
2018-05-24 09:03:55.010 [NJ] INFO  [AWT-EventQueue-0] - twslaunch.autoupdate.serviceImpl: com.ib.tws.twslaunch.install4j.Install4jAutoUpdateService
2018-05-24 09:03:55.013 [NJ] INFO  [AWT-EventQueue-0] - updateDownloadUrl: null
2018-05-24 09:03:55.014 [NJ] INFO  [AWT-EventQueue-0] - skipUpdateCheck: null
2018-05-24 09:03:55.014 [NJ] INFO  [AWT-EventQueue-0] - nightlyEnabled: true
2018-05-24 09:03:55.014 [NJ] INFO  [AWT-EventQueue-0] - channelNameArg: null
2018-05-24 09:03:55.014 [NJ] INFO  [AWT-EventQueue-0] - channelName: latest
2018-05-24 09:03:55.014 [NJ] INFO  [AWT-EventQueue-0] - jtsConfigDir: null
2018-05-24 09:03:55.014 [NJ] INFO  [AWT-EventQueue-0] - sessionId: not set
2018-05-24 09:03:55.014 [NJ] INFO  [AWT-EventQueue-0] - apiPort: null
2018-05-24 09:03:55.014 [NJ] INFO  [AWT-EventQueue-0] - installDir: /home/eugene/Jts/lynx10/
2018-05-24 09:03:55.014 [NJ] INFO  [AWT-EventQueue-0] - exeName: null
2018-05-24 09:03:55.123 [NJ] INFO  [AWT-EventQueue-0] - Started on 20180524-08:03:55 Europe/London
2018-05-24 09:03:55.123 [NJ] INFO  [AWT-EventQueue-0] - java version = 1.8.0_60
2018-05-24 09:03:55.123 [NJ] INFO  [AWT-EventQueue-0] - sun.arch.data.model = 64
2018-05-24 09:03:55.123 [NJ] INFO  [AWT-EventQueue-0] - os = Linux
2018-05-24 09:03:55.123 [NJ] INFO  [AWT-EventQueue-0] - os architecture = 32
2018-05-24 09:03:55.123 [NJ] INFO  [AWT-EventQueue-0] - runtime = Java(TM) SE Runtime Environment
2018-05-24 09:03:55.123 [NJ] INFO  [AWT-EventQueue-0] - vendor = Oracle Corporation
2018-05-24 09:03:55.123 [NJ] INFO  [AWT-EventQueue-0] - vm name = Java HotSpot(TM) 64-Bit Server VM
2018-05-24 09:03:55.123 [NJ] INFO  [AWT-EventQueue-0] - username = 'eugene'
2018-05-24 09:03:55.264 [NJ] INFO  [AWT-EventQueue-0] - Basic init done. Login window shown
2018-05-24 09:04:01.562 [NJ] INFO  [AWT-EventQueue-0] - username = diulishzrp
2018-05-24 09:04:01.563 [NJ] INFO  [AWT-EventQueue-0] - Setting dir is /home/eugene/Jts/
2018-05-24 09:04:01.564 [NJ] INFO  [AWT-EventQueue-0] - PROXY Cleared HTTP proxy: no valid proxy is present (passing on :0)
2018-05-24 09:04:01.575 [NJ] INFO  [AWT-EventQueue-0] - host = gdc1.ibllc.com
2018-05-24 09:04:01.575 [NJ] INFO  [AWT-EventQueue-0] - remotePort = 4000
2018-05-24 09:04:01.575 [NJ] INFO  [AWT-EventQueue-0] - localPort = 0
2018-05-24 09:04:01.577 [NJ] INFO  [AWT-EventQueue-0] - SPLASH Creating screen with 16 steps
2018-05-24 09:04:01.660 [NJ] INFO  [AWT-EventQueue-0] - mapProdToPaper: m_simulatedTradingModeSelected=false
2018-05-24 09:04:01.660 [NJ] INFO  [AWT-EventQueue-0] - CONN CALC: Last connection attempt time is cleared!
2018-05-24 09:04:01.660 [NJ] INFO  [AWT-EventQueue-0] - CONN CALC: Last connection set as now:09:04:01:660
2018-05-24 09:04:01.660 [NJ] INFO  [AWT-EventQueue-0] - Prelogin delay:0
2018-05-24 09:04:01.662 [NJ] INFO  [JTS-Login-10] - Starting launcher login thread
2018-05-24 09:04:01.662 [NJ] INFO  [JTS-Login-10] - SPLASH Connecting to server
2018-05-24 09:04:01.663 [NJ] INFO  [AWT-EventQueue-0] - Network monitor is activated
2018-05-24 09:04:01.663 [NJ] INFO  [JTS-Login-10] - Connecting gdc1.ibllc.com:4000 timeout=20000
2018-05-24 09:04:01.749 [NJ] INFO  [JTS-Login-10] - Connected to gdc1.ibllc.com:4000 on local port 0 socket local addrs:port /192.168.1.103:49900
2018-05-24 09:04:01.760 [NJ] INFO  [JTS-Login-10] - NSCX init:false
2018-05-24 09:04:01.760 [NJ] INFO  [JTS-Login-10] - Changing state for connection from PRELOGON to PRELOGON in y 1623502316: SessionSocket:2
2018-05-24 09:04:01.760 [NJ] INFO  [JTS-Login-10] - Authenticating
2018-05-24 09:04:01.761 [NJ] INFO  [JTS-CCPListenerS2-12] - Starting Listener thread
2018-05-24 09:04:01.761 [NJ] INFO  [JTS-Login-10] - AuthTimeoutMonitor: deactivate
2018-05-24 09:04:01.761 [NJ] INFO  [JTS-Login-10] - AuthTimeoutMonitor: timeout=20000
2018-05-24 09:04:01.762 [NJ] INFO  [JTS-Login-10] - AuthTimeoutMonitor: activate
2018-05-24 09:04:01.762 [NJ] INFO  [JTS-AuthTimeoutMonitorThread-14] - Starting auth timeout monitor thread
2018-05-24 09:04:01.762 [NJ] INFO  [JTS-Login-10] - SPLASH -0001 step 1 AuthDispatcher.connect
2018-05-24 09:04:01.762 [NJ] INFO  [JTS-Login-10] - Sending connect request
2018-05-24 09:04:01.763 [NJ] INFO  [JTS-AuthDispatcherS2-13] - Starting dispatcher
2018-05-24 09:04:01.765 [NJ] INFO  [JTS-Login-10] - SPLASH Authenticating
2018-05-24 09:04:01.765 [NJ] INFO  [JTS-CCPListenerS2-12] - Initial listener buffer size is 187200
2018-05-24 09:04:01.765 [NJ] INFO  [JTS-CCPListenerS2-12] - Capping listener buffer size at 65536
2018-05-24 09:04:01.766 [NJ] INFO  [JTS-Login-10] - Terminating launcher login thread
2018-05-24 09:04:01.874 [NJ] INFO  [JTS-AuthDispatcherS2-13] - cert #0 subject:CN=tws.ibllc.com,OU=tws.ibllc.com,O=IBLLC,C=US	issuer:CN=prod.ckg.ibllc.com,O=Interactive Brokers LLC,L=Greenwich,ST=Connecticut,C=US	notBefore:20180523-15:13:59 Europe/London	notAfter:20180525-23:13:59 Europe/London
2018-05-24 09:04:01.875 [NJ] INFO  [JTS-AuthDispatcherS2-13] - cert #1 subject:CN=prod.ckg.ibllc.com,O=Interactive Brokers LLC,L=Greenwich,ST=Connecticut,C=US	issuer:CN=DigiCert SHA2 Secure Server CA,O=DigiCert Inc,C=US	notBefore:20150806-01:00:00 Europe/London	notAfter:20180810-13:00:00 Europe/London
2018-05-24 09:04:01.875 [NJ] INFO  [JTS-AuthDispatcherS2-13] - cert #2 subject:CN=DigiCert SHA2 Secure Server CA,O=DigiCert Inc,C=US	issuer:CN=DigiCert Global Root CA,OU=www.digicert.com,O=DigiCert Inc,C=US	notBefore:20130308-12:00:00 Europe/London	notAfter:20230308-12:00:00 Europe/London
2018-05-24 09:04:01.876 [NJ] INFO  [JTS-AuthDispatcherS2-13] - Current time is: 20180524-08:04:01 Europe/London
2018-05-24 09:04:01.981 [NJ] INFO  [JTS-AuthDispatcherS2-13] - CipherContext initialization successed.
2018-05-24 09:04:02.105 [NJ] INFO  [JTS-AuthDispatcherS2-13] - SPLASH 0342 step 2 AuthDispatcher.send
2018-05-24 09:04:02.194 [NJ] INFO  [JTS-AuthDispatcherS2-13] - Received NS_AUTH_START: 1
2018-05-24 09:04:02.195 [NJ] INFO  [JTS-AuthDispatcherS2-13] - pwd time to expiry ms: 2575230958000 days: 29806
2018-05-24 09:04:02.195 [NJ] INFO  [JTS-AuthDispatcherS2-13] - Long pwd allowed : true
2018-05-24 09:04:02.195 [NJ] INFO  [JTS-AuthDispatcherS2-13] -  NS_AUTH_START version=28 pwd=1 soft=0 token=3 tokenSubtype=0 initialTokenType=PWD authenticationType=MARKET_DATA_CONNECTION identityHashcode=539790110
2018-05-24 09:04:02.196 [NJ] INFO  [JTS-AuthDispatcherS2-13] - Starting password Authentication
2018-05-24 09:04:02.196 [NJ] INFO  [JTS-AuthDispatcherS2-13] - sendXYZMessage: 777
2018-05-24 09:04:02.287 [NJ] INFO  [JTS-AuthDispatcherS2-13] - Receiver: 777
2018-05-24 09:04:02.287 [NJ] INFO  [JTS-AuthDispatcherS2-13] - processXYZMessage: 777 protocol version: 28
2018-05-24 09:04:02.287 [NJ] INFO  [JTS-AuthDispatcherS2-13] - Received AUTH_PARAMS
2018-05-24 09:04:02.288 [NJ] INFO  [JTS-AuthDispatcherS2-13] - sendXYZMessage: 777
2018-05-24 09:04:02.375 [NJ] INFO  [JTS-AuthDispatcherS2-13] - SPLASH 0270 step 3 AuthDispatcher.processDataItr
2018-05-24 09:04:02.375 [NJ] INFO  [JTS-AuthDispatcherS2-13] - Receiver: 777
2018-05-24 09:04:02.375 [NJ] INFO  [JTS-AuthDispatcherS2-13] - processXYZMessage: 777 protocol version: 28
2018-05-24 09:04:02.375 [NJ] INFO  [JTS-AuthDispatcherS2-13] - Received SERVER_PARAMS
